country_name,country_border_name
Spain,Andorra
Spain,France
Spain,Gibraltar
Spain,Morocco
Spain,Portugal
Ethiopia,Djibouti
Ethiopia,Eritrea
Ethiopia,Kenya
Ethiopia,Somalia
Ethiopia,South Sudan
Ethiopia,Sudan
Finland,Norway
Finland,Russian Federation
Finland,Sweden
France,Andorra
France,Belgium
France,Germany
France,Italy
France,Luxembourg
France,Monaco
France,Spain
France,Switzerland
Gabon,Cameroon
Gabon,Congo
Gabon,Equatorial Guinea
United Kingdom,Ireland
Georgia,Armenia
Georgia,Azerbaijan
Georgia,Russian Federation
Georgia,Turkey
French Guiana,Brazil
French Guiana,Suriname
Ghana,Burkina Faso
Ghana,Cote d’Ivoire
Ghana,Togo
Gibraltar,Spain
Gambia (the),Senegal
Guinea,Cote d’Ivoire
Guinea,Guinea-Bissau
Guinea,Liberia
Guinea,Mali
Guinea,Senegal
Guinea,Sierra Leone
Equatorial Guinea,Cameroon
Equatorial Guinea,Gabon
Greece,Albania
Greece,Bulgaria
Greece,Macedonia
Greece,Turkey
Guatemala,Belize
Guatemala,El Salvador
Guatemala,Honduras
Guatemala,Mexico
Guinea-Bissau,Guinea
Guinea-Bissau,Senegal
Guyana,Brazil
Guyana,Suriname
Guyana,Venezuela
Hong Kong,China
Honduras,El Salvador
Honduras,Guatemala
Honduras,Nicaragua
Croatia,Bosnia and Herzegovina
Croatia,Hungary
Croatia,Montenegro
Croatia,Serbia
Croatia,Slovenia
Haiti,Dominican Republic
Hungary,Austria
Hungary,Croatia
Hungary,Romania
Hungary,Serbia
Hungary,Slovakia
Hungary,Slovenia
Hungary,Ukraine
Indonesia,Malaysia
Indonesia,Papua New Guinea
Indonesia,Timor-Leste
Ireland,United Kingdom
Israel,Egypt
Israel,Jordan
Israel,Lebanon
Israel,"Palestine, State of"
Israel,Syrian Arab Republic
India,Bangladesh
India,Bhutan
India,China
India,Myanmar
India,Nepal
India,Pakistan
Iraq,Iran
Iraq,Jordan
Iraq,Kuwait
Iraq,Saudi Arabia
Iraq,Syrian Arab Republic
Iraq,Turkey
Iran,Afghanistan
Iran,Armenia
Iran,Azerbaijan
Iran,Iraq
Iran,Pakistan
Iran,Turkey
Iran,Turkmenistan
Italy,Austria
Italy,France
Italy,San Marino
Italy,Slovenia
Italy,Switzerland
Italy,Holy See
Jordan,Iraq
Jordan,Israel
Jordan,"Palestine, State of"
Jordan,Saudi Arabia
Jordan,Syrian Arab Republic
Kenya,Ethiopia
Kenya,Somalia
Kenya,South Sudan
Kenya,Tanzania
Kenya,Uganda
Kyrgyzstan,China
Kyrgyzstan,Kazakhstan
Kyrgyzstan,Tajikistan
Kyrgyzstan,Uzbekistan
Cambodia,Laos
Cambodia,Thailand
Cambodia,Viet Nam
North Korea,China
North Korea,South Korea
North Korea,Russian Federation
South Korea,North Korea
Kuwait,Iraq
Kuwait,Saudi Arabia
Kazakhstan,China
Kazakhstan,Kyrgyzstan
Kazakhstan,Russian Federation
Kazakhstan,Turkmenistan
Kazakhstan,Uzbekistan
Laos,China
Laos,Cambodia
Laos,Myanmar
Laos,Thailand
Laos,Viet Nam
Lebanon,Israel
Lebanon,Syrian Arab Republic
Liechtenstein,Austria
Liechtenstein,Switzerland
Liberia,Cote d’Ivoire
Liberia,Guinea
Liberia,Sierra Leone
Lesotho,South Africa
Lithuania,Belarus
Lithuania,Latvia
Lithuania,Poland
Lithuania,Russian Federation
Luxembourg,Belgium
Luxembourg,Germany
Luxembourg,France
Latvia,Belarus
Latvia,Estonia
Latvia,Lithuania
Latvia,Russian Federation
Libya,Algeria
Libya,Chad
Libya,Egypt
Libya,Niger
Libya,Sudan
Libya,Tunisia
Morocco,Algeria
Morocco,Spain
Morocco,Western Sahara
Monaco,France
Moldova,Romania
Moldova,Ukraine
Montenegro,Albania
Montenegro,Bosnia and Herzegovina
Montenegro,Croatia
Montenegro,Serbia
Saint Martin (French part),Sint Maarten (Dutch part)
Macedonia,Albania
Macedonia,Bulgaria
Macedonia,Greece
Macedonia,Serbia
Mali,Algeria
Mali,Burkina Faso
Mali,Cote d’Ivoire
Mali,Guinea
Mali,Mauritania
Mali,Niger
Mali,Senegal
Myanmar,Bangladesh
Myanmar,China
Myanmar,India
Myanmar,Laos
Myanmar,Thailand
Mongolia,China
Mongolia,Russian Federation
Macao,China
Mauritania,Algeria
Mauritania,Mali
Mauritania,Senegal
Mauritania,Western Sahara
Malawi,Mozambique
Malawi,Tanzania
Malawi,Zambia
Mexico,Belize
Mexico,Guatemala
Mexico,United States
Malaysia,Brunei Darussalam
Malaysia,Indonesia
Malaysia,Thailand
Mozambique,Malawi
Mozambique,Swaziland
Mozambique,South Africa
Mozambique,Tanzania
Mozambique,Zambia
Mozambique,Zimbabwe
Namibia,Angola
Namibia,Botswana
Namibia,South Africa
Namibia,Zambia
Niger,Algeria
Niger,Benin
Niger,Burkina Faso
Niger,Chad
Niger,Libya
Niger,Mali
Niger,Nigeria
Nigeria,Benin
Nigeria,Cameroon
Nigeria,Chad
Nigeria,Niger
Nicaragua,Costa Rica
Nicaragua,Honduras
Netherlands,Belgium
Netherlands,Germany
Norway,Finland
Norway,Russian Federation
Norway,Sweden
Nepal,China
Nepal,India
Oman,United Arab Emirates
Oman,Saudi Arabia
Oman,Yemen
Panama,Colombia
Panama,Costa Rica
Peru,Bolivia (Plurinational State Of)
Peru,Brazil
Peru,Chile
Peru,Colombia
Peru,Ecuador
Papua New Guinea,Indonesia
Pakistan,Afghanistan
Pakistan,China
Pakistan,India
Pakistan,Iran
Poland,Belarus
Poland,Czech Republic
Poland,Germany
Poland,Lithuania
Poland,Russian Federation
Poland,Slovakia
Poland,Ukraine
"Palestine, State of",Egypt
"Palestine, State of",Israel
"Palestine, State of",Jordan
Portugal,Spain
Paraguay,Argentina
Paraguay,Bolivia (Plurinational State Of)
Paraguay,Brazil
Qatar,Saudi Arabia
Romania,Bulgaria
Romania,Hungary
Romania,Moldova
Romania,Serbia
Romania,Ukraine
Serbia,Albania
Serbia,Bosnia and Herzegovina
Serbia,Bulgaria
Serbia,Croatia
Serbia,Hungary
Serbia,Montenegro
Serbia,Macedonia
Serbia,Romania
Russian Federation,Azerbaijan
Russian Federation,Belarus
Russian Federation,China
Russian Federation,Estonia
Russian Federation,Finland
Russian Federation,Georgia
Russian Federation,Kazakhstan
Russian Federation,North Korea
Russian Federation,Latvia
Russian Federation,Lithuania
Russian Federation,Mongolia
Russian Federation,Norway
Russian Federation,Poland
Russian Federation,Ukraine
Rwanda,Burundi
Rwanda,Congo
Rwanda,Tanzania
Rwanda,Uganda
Saudi Arabia,Iraq
Saudi Arabia,Jordan
Saudi Arabia,Kuwait
Saudi Arabia,Oman
Saudi Arabia,Qatar
Saudi Arabia,United Arab Emirates
Saudi Arabia,Yemen
Sudan,Central African Republic
Sudan,Chad
Sudan,Egypt
Sudan,Ethiopia
Sudan,Eritrea
Sudan,Libya
Sudan,South Sudan
Sweden,Finland
Sweden,Norway
Slovenia,Austria
Slovenia,Croatia
Slovenia,Hungary
Slovenia,Italy
Slovakia,Austria
Slovakia,Czech Republic
Slovakia,Hungary
Slovakia,Poland
Slovakia,Ukraine
Sierra Leone,Guinea
Sierra Leone,Liberia
San Marino,Italy
Senegal,Gambia (the)
Senegal,Guinea
Senegal,Guinea-Bissau
Senegal,Mali
Senegal,Mauritania
Somalia,Djibouti
Somalia,Ethiopia
Somalia,Kenya
Suriname,Brazil
Suriname,French Guiana
Suriname,Guyana
South Sudan,Central African Republic
South Sudan,Congo
South Sudan,Ethiopia
South Sudan,Kenya
South Sudan,Sudan
South Sudan,Uganda
El Salvador,Guatemala
El Salvador,Honduras
Sint Maarten (Dutch part),Saint Martin (French part)
Syrian Arab Republic,Iraq
Syrian Arab Republic,Israel
Syrian Arab Republic,Jordan
Syrian Arab Republic,Lebanon
Syrian Arab Republic,Turkey
Swaziland,Mozambique
Swaziland,South Africa
Chad,Cameroon
Chad,Central African Republic
Chad,Libya
Chad,Niger
Chad,Nigeria
Chad,Sudan
Togo,Benin
Togo,Burkina Faso
Togo,Ghana
Thailand,Cambodia
Thailand,Laos
Thailand,Malaysia
Thailand,Myanmar
Tajikistan,Afghanistan
Tajikistan,China
Tajikistan,Kyrgyzstan
Tajikistan,Uzbekistan
Timor-Leste,Indonesia
Turkmenistan,Afghanistan
Turkmenistan,Iran
Turkmenistan,Kazakhstan
Turkmenistan,Uzbekistan
Tunisia,Algeria
Tunisia,Libya
Turkey,Armenia
Turkey,Azerbaijan
Turkey,Bulgaria
Turkey,Georgia
Turkey,Greece
Turkey,Iran
Turkey,Iraq
Turkey,Syrian Arab Republic
Tanzania,Burundi
Tanzania,Congo
Tanzania,Kenya
Tanzania,Malawi
Tanzania,Mozambique
Tanzania,Rwanda
Tanzania,Uganda
Tanzania,Zambia
Ukraine,Belarus
Ukraine,Hungary
Ukraine,Moldova
Ukraine,Poland
Ukraine,Romania
Ukraine,Russian Federation
Ukraine,Slovakia
Uganda,Congo
Uganda,Kenya
Uganda,Rwanda
Uganda,South Sudan
Uganda,Tanzania
United States,Canada
United States,Mexico
Uruguay,Argentina
Uruguay,Brazil
Uzbekistan,Afghanistan
Uzbekistan,Kazakhstan
Uzbekistan,Kyrgyzstan
Uzbekistan,Tajikistan
Uzbekistan,Turkmenistan
Holy See,Italy
Venezuela,Brazil
Venezuela,Colombia
Venezuela,Guyana
Viet Nam,Cambodia
Viet Nam,China
Viet Nam,Laos
Yemen,Oman
Yemen,Saudi Arabia
South Africa,Botswana
South Africa,Lesotho
South Africa,Mozambique
South Africa,Namibia
South Africa,Swaziland
South Africa,Zimbabwe
Zambia,Angola
Zambia,Botswana
Zambia,Congo
Zambia,Malawi
Zambia,Mozambique
Zambia,Namibia
Zambia,Tanzania
Zambia,Zimbabwe
Zimbabwe,Botswana
Zimbabwe,Mozambique
Zimbabwe,South Africa
Zimbabwe,Zambia
